City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Uberlandia,BR,86.0,scattered clouds,-18.9186,-48.2772,Hotel Apollo
5,Arlit,NE,71.96,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
7,Atuona,PF,81.05,overcast clouds,-9.8,-139.0333,Villa Enata
10,Bengkulu,ID,76.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
14,Bom Jesus,BR,83.66,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
15,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
16,Cabedelo,BR,78.8,broken clouds,-6.9811,-34.8339,Hotel Pigalle
20,May Pen,JM,86.0,few clouds,17.9645,-77.2451,Mus Com Bac
27,Hithadhoo,MV,80.04,heavy intensity rain,-0.6,73.0833,Scoop Guest House
33,Caucaia,BR,84.2,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
38,Muisne,EC,86.0,light rain,0.6,-80.0333,Quinta Samay
45,Victoria,HK,75.99,scattered clouds,22.2855,114.1577,Mini Hotel Central
46,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
48,Labuan,MY,78.01,heavy intensity rain,5.2767,115.2417,Tiara Labuan Hotel
49,Conde,BR,78.8,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
54,Hirara,JP,74.84,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
55,Takoradi,GH,80.2,few clouds,4.8845,-1.7554,Raybow International Hotel
56,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
58,Arraial Do Cabo,BR,84.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
59,Majene,ID,77.38,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
63,Taoudenni,ML,83.68,overcast clouds,22.6783,-3.9836,
67,Cassilandia,BR,83.03,scattered clouds,-19.1133,-51.7342,Delirius Motel
68,Havelock,US,72.0,overcast clouds,34.8791,-76.9013,Sherwood Motel
69,Vaini,TO,84.2,light rain,-21.2,-175.2,Keleti Beach Resort
70,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
74,Rikitea,PF,79.41,clear sky,-23.1203,-134.9692,Pension Maro'i
75,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Bilma,NE,72.68,clear sky,18.6853,12.9164,Expeditions Ténére voyages
77,Pasni,PK,78.13,overcast clouds,25.2631,63.471000000000004,Kashmiri Hotal
78,Kapaa,US,77.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
81,Sao Geraldo Do Araguaia,BR,78.21,moderate rain,-6.4006,-48.555,SOLAR DO BARROSO
85,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
86,Kailua,US,80.6,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
88,Kieta,PG,79.66,light rain,-6.2167,155.6333,Uruna Bay Retreat
90,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
92,Sao Miguel Do Araguaia,BR,80.91,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
93,Leo,BF,82.89,clear sky,11.1,-2.1,Hotel Sissilis
97,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
101,Fare,PF,82.02,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
102,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
107,Hadgaon,IN,83.48,clear sky,19.5,77.6667,Ayan khan
110,Hobyo,SO,80.19,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
120,Port Hedland,AU,80.6,few clouds,-20.3167,118.5667,The Esplanade Hotel
123,Neiafu,TO,84.2,light rain,-18.65,-173.9833,Mystic Sands
127,Saint George,US,73.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
130,Nioro,GM,82.02,clear sky,13.35,-15.75,
131,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
133,Lorengau,PG,82.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
137,Touros,BR,82.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
138,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
139,Kavaratti,IN,83.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
140,Karratha,AU,86.16,broken clouds,-20.7377,116.8463,ibis Styles Karratha
150,Calabar,NG,79.83,clear sky,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
156,Mayo,US,73.4,few clouds,38.8876,-76.5119,Resorts Resource Group International
164,Hualmay,PE,73.58,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
165,Carutapera,BR,77.72,overcast clouds,-1.195,-46.02,Lidera
168,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
170,Cananeia,BR,77.86,overcast clouds,-25.0147,-47.9267,Casa azul
171,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
172,Cairns,AU,78.8,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
174,Port-Gentil,GA,80.6,moderate rain,-0.7193,8.7815,Fengshui Residence
176,Bangkalan,ID,78.8,haze,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
177,Mananjary,MG,75.85,clear sky,-21.2167,48.3333,Vahiny Lodge
182,Sirohi,IN,77.29,clear sky,24.8833,72.8667,Dheeraj Kumar
183,Alto Piquiri,BR,78.19,few clouds,-24.0281,-53.4406,Hotel Frison
192,Kaduqli,SD,79.39,clear sky,11.0167,29.7167,فندق الله جابو
193,Moron,AR,73.99,few clouds,-34.6534,-58.6198,Hotel Morón
197,General Roca,AR,80.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
198,Sola,VU,80.6,overcast clouds,-13.8833,167.55,Leumerus Bungalows
199,Rahimatpur,IN,77.11,scattered clouds,17.6,74.2,Swami Prasad Ice-cream parlor
201,Savannah Bight,HN,86.0,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
202,Padang,ID,75.2,moderate rain,-0.9492,100.3543,Mercure Padang
205,Cidreira,BR,76.71,scattered clouds,-30.1811,-50.2056,Hotel Castelo
