City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,90,14.97,snow
1,Barrow,US,71.2906,-156.7887,-20.2,69,1,10.36,clear sky
2,Uberlandia,BR,-18.9186,-48.2772,86.0,37,40,9.22,scattered clouds
3,Zeya,RU,53.75,127.2667,28.54,91,100,6.26,overcast clouds
4,Bluff,NZ,-46.6,168.3333,57.0,99,95,4.0,overcast clouds
5,Arlit,NE,18.7369,7.3853,71.96,12,0,12.06,clear sky
6,Rockland,US,41.1668,-74.0496,55.99,96,100,10.11,overcast clouds
7,Atuona,PF,-9.8,-139.0333,81.05,72,100,17.16,overcast clouds
8,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,100,10.36,overcast clouds
9,Derzhavinsk,KZ,51.1,66.3167,11.82,94,17,8.55,few clouds
10,Bengkulu,ID,-3.8004,102.2655,76.55,91,100,2.26,overcast clouds
11,Qaanaaq,GL,77.484,-69.3632,-17.82,81,70,5.14,broken clouds
12,Severo-Kurilsk,RU,50.6789,156.125,27.05,77,7,11.14,clear sky
13,Butaritari,KI,3.0707,172.7902,81.63,74,82,12.68,light rain
14,Bom Jesus,BR,-9.0744,-44.3586,83.66,44,100,2.28,overcast clouds
15,Avarua,CK,-21.2078,-159.775,84.2,79,75,19.57,broken clouds
16,Cabedelo,BR,-6.9811,-34.8339,78.8,94,75,5.75,broken clouds
17,Fortuna,US,40.5982,-124.1573,54.0,93,40,12.66,scattered clouds
18,Ylojarvi,FI,61.5563,23.5961,37.4,81,90,17.27,light rain
19,Mataura,NZ,-46.1927,168.8643,57.0,99,52,4.0,broken clouds
20,May Pen,JM,17.9645,-77.2451,86.0,65,20,28.77,few clouds
21,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,75,3.44,broken clouds
22,Leningradskiy,RU,69.3833,178.4167,-10.39,93,100,3.71,overcast clouds
23,Hobart,AU,-42.8794,147.3294,53.6,40,20,12.66,few clouds
24,Kodiak,US,57.79,-152.4072,39.2,38,20,3.44,few clouds
25,Ancud,CL,-41.8697,-73.8203,68.0,60,0,14.97,clear sky
26,Davidson,US,36.1501,-86.7833,60.8,31,75,18.41,broken clouds
27,Hithadhoo,MV,-0.6,73.0833,80.04,82,100,31.34,heavy intensity rain
28,New Norfolk,AU,-42.7826,147.0587,52.0,61,70,1.01,broken clouds
29,Dikson,RU,73.5069,80.5464,-25.46,100,96,7.14,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,66.0,75,100,8.01,overcast clouds
31,Yellowknife,CA,62.456,-114.3525,26.6,43,40,21.85,scattered clouds
32,Ushuaia,AR,-54.8,-68.3,48.2,61,40,17.27,scattered clouds
33,Caucaia,BR,-3.7361,-38.6531,84.2,79,20,4.61,few clouds
34,Busselton,AU,-33.65,115.3333,54.0,86,0,6.85,clear sky
35,Rocha,UY,-34.4833,-54.3333,65.7,91,88,4.85,overcast clouds
36,Jamestown,US,42.097,-79.2353,48.0,70,90,21.43,overcast clouds
37,Pevek,RU,69.7008,170.3133,-19.07,99,69,2.26,broken clouds
38,Muisne,EC,0.6,-80.0333,86.0,74,40,5.75,light rain
39,Saint-Francois,FR,46.4154,3.9054,43.0,81,0,2.3,clear sky
40,Staromyshastovskaya,RU,45.3433,39.0761,41.0,93,0,4.47,clear sky
41,Lavrentiya,RU,65.5833,-171.0,9.05,94,100,19.48,light snow
42,Iqaluit,CA,63.7506,-68.5145,14.0,73,90,17.27,snow
43,Albany,US,42.6001,-73.9662,52.0,88,100,1.01,overcast clouds
44,Pacific Grove,US,36.6177,-121.9166,62.01,63,1,6.91,clear sky
45,Victoria,HK,22.2855,114.1577,75.99,88,26,1.01,scattered clouds
46,Kununurra,AU,-15.7667,128.7333,75.2,94,100,2.3,overcast clouds
47,Siteki,SZ,-26.45,31.95,56.73,93,0,3.8,clear sky
48,Labuan,MY,5.2767,115.2417,78.01,100,40,5.75,heavy intensity rain
49,Conde,BR,-7.2597,-34.9075,78.8,94,75,5.75,broken clouds
50,Tasiilaq,GL,65.6145,-37.6368,19.4,49,21,10.36,few clouds
51,Pervomayskiy,RU,53.2485,40.2871,35.01,64,100,3.94,overcast clouds
52,Beringovskiy,RU,63.05,179.3167,11.89,93,100,16.53,light snow
53,Vestmannaeyjar,IS,63.4427,-20.2734,33.8,75,20,8.05,few clouds
54,Hirara,JP,24.8,125.2833,74.84,84,15,2.39,few clouds
55,Takoradi,GH,4.8845,-1.7554,80.2,83,14,6.82,few clouds
56,Vila Velha,BR,-20.3297,-40.2925,78.8,73,20,4.61,few clouds
57,Vila,PT,42.0304,-8.1588,59.0,49,1,4.0,clear sky
58,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,83,0,8.05,clear sky
59,Majene,ID,-3.5403,118.9707,77.38,82,100,2.64,overcast clouds
60,Omsukchan,RU,62.5333,155.8,-7.56,91,89,3.15,overcast clouds
61,Aswan,EG,24.0934,32.907,66.54,20,0,16.62,clear sky
62,Ponta Do Sol,PT,32.6667,-17.1,60.01,69,80,3.0,broken clouds
63,Taoudenni,ML,22.6783,-3.9836,83.68,5,100,12.44,overcast clouds
64,Gazanjyk,TM,39.2446,55.5154,44.83,71,6,6.82,clear sky
65,Shepsi,RU,44.0361,39.1489,43.57,78,17,6.55,few clouds
66,Nikolskoye,RU,59.7035,30.7861,41.0,93,90,3.6,overcast clouds
67,Cassilandia,BR,-19.1133,-51.7342,83.03,46,27,3.4,scattered clouds
68,Havelock,US,34.8791,-76.9013,72.0,77,100,11.01,overcast clouds
69,Vaini,TO,-21.2,-175.2,84.2,79,20,10.36,light rain
70,Kahului,US,20.8947,-156.47,78.8,57,40,20.71,scattered clouds
71,Thompson,CA,55.7435,-97.8558,28.4,40,90,5.75,overcast clouds
72,Bethel,US,41.3712,-73.414,55.99,97,100,1.01,overcast clouds
73,Hasaki,JP,35.7333,140.8333,59.0,100,75,5.75,broken clouds
74,Rikitea,PF,-23.1203,-134.9692,79.41,70,4,15.14,clear sky
75,Mahebourg,MU,-20.4081,57.7,75.2,88,20,5.75,few clouds
76,Bilma,NE,18.6853,12.9164,72.68,14,0,7.81,clear sky
77,Pasni,PK,25.2631,63.471,78.13,77,99,6.51,overcast clouds
78,Kapaa,US,22.0752,-159.319,77.0,69,90,18.41,overcast clouds
79,Kruisfontein,ZA,-34.0033,24.7314,63.0,73,87,5.01,overcast clouds
